rabbit watch - COMPONENT PLACEMENT,
4/13/2015,
Units,mm,
,
Ref,Part Name,Side,X,Y,Rotation,
X1,ABS05-32kHz-9pF,Top,-2.50,-4.00,0.0,
U2,ATSAMD21E,Top,0.00,0.00,0.0,
C2,C 0.1uF 0201 X5R,Top,5.25,1.75,180.0,
C6,C 0.1uF 0201 X5R,Top,-4.25,0.00,270.0,
C7,C 0.1uF 0201 X5R,Top,3.75,-2.50,270.0,
C10,C 0.1uF 0201 X5R,Top,-4.75,-4.00,90.0,
C1,C 10uF 0402 X5R,Top,5.25,2.75,180.0,
C5,C 10uF 0402 X5R,Top,-5.25,0.00,270.0,
C3,C 12pF 0201 C0G,Top,-1.00,-4.00,270.0,
C4,C 12pF 0201 C0G,Top,-4.00,-4.00,270.0,
C8,C 1uF 0201 X5R,Top,-3.50,0.00,270.0,
C9,C 47uF 0805 X5R,Top,4.00,-5.25,0.0,
Q5,KDT00030,Top,0.00,-6.75,0.0,
LED0,LED 0402 Orange,Top,0.00,12.50,270.0,
LED1,LED 0402 Orange,Top,1.31,12.43,264.0,
LED2,LED 0402 Orange,Top,2.60,12.23,258.0,
LED3,LED 0402 Orange,Top,3.86,11.89,252.0,
LED4,LED 0402 Orange,Top,5.08,11.42,246.0,
LED5,LED 0402 Orange,Top,6.25,10.83,240.0,
LED6,LED 0402 Orange,Top,7.35,10.11,234.0,
LED7,LED 0402 Orange,Top,8.36,9.29,228.0,
LED8,LED 0402 Orange,Top,9.29,8.36,222.0,
LED9,LED 0402 Orange,Top,10.11,7.35,216.0,
LED10,LED 0402 Orange,Top,10.83,6.25,210.0,
LED11,LED 0402 Orange,Top,11.42,5.08,204.0,
LED12,LED 0402 Orange,Top,11.89,3.86,198.0,
LED13,LED 0402 Orange,Top,12.23,2.60,192.0,
LED14,LED 0402 Orange,Top,12.43,1.31,186.0,
LED15,LED 0402 Orange,Top,12.50,0.00,180.0,
LED16,LED 0402 Orange,Top,12.43,-1.31,174.0,
LED17,LED 0402 Orange,Top,12.23,-2.60,168.0,
LED18,LED 0402 Orange,Top,11.89,-3.86,162.0,
LED19,LED 0402 Orange,Top,11.42,-5.08,156.0,
LED20,LED 0402 Orange,Top,10.83,-6.25,150.0,
LED21,LED 0402 Orange,Top,10.11,-7.35,144.0,
LED22,LED 0402 Orange,Top,9.29,-8.36,138.0,
LED23,LED 0402 Orange,Top,8.36,-9.29,132.0,
LED24,LED 0402 Orange,Top,7.35,-10.11,126.0,
LED25,LED 0402 Orange,Top,6.25,-10.83,120.0,
LED26,LED 0402 Orange,Top,5.08,-11.42,114.0,
LED27,LED 0402 Orange,Top,3.86,-11.89,108.0,
LED28,LED 0402 Orange,Top,2.60,-12.23,102.0,
LED29,LED 0402 Orange,Top,1.31,-12.43,96.0,
LED30,LED 0402 Orange,Top,0.00,-12.50,90.0,
LED31,LED 0402 Orange,Top,-1.31,-12.43,84.0,
LED32,LED 0402 Orange,Top,-2.60,-12.23,78.0,
LED33,LED 0402 Orange,Top,-3.86,-11.89,72.0,
LED34,LED 0402 Orange,Top,-5.08,-11.42,66.0,
LED35,LED 0402 Orange,Top,-6.25,-10.83,60.0,
LED36,LED 0402 Orange,Top,-7.35,-10.11,54.0,
LED37,LED 0402 Orange,Top,-8.36,-9.29,48.0,
LED38,LED 0402 Orange,Top,-9.29,-8.36,42.0,
LED39,LED 0402 Orange,Top,-10.11,-7.35,36.0,
LED40,LED 0402 Orange,Top,-10.83,-6.25,30.0,
LED41,LED 0402 Orange,Top,-11.42,-5.08,24.0,
LED42,LED 0402 Orange,Top,-11.89,-3.86,18.0,
LED43,LED 0402 Orange,Top,-12.23,-2.60,12.0,
LED44,LED 0402 Orange,Top,-12.43,-1.31,6.0,
LED45,LED 0402 Orange,Top,-12.50,0.00,0.0,
LED46,LED 0402 Orange,Top,-12.43,1.31,354.0,
LED47,LED 0402 Orange,Top,-12.23,2.60,348.0,
LED48,LED 0402 Orange,Top,-11.89,3.86,342.0,
LED49,LED 0402 Orange,Top,-11.42,5.08,336.0,
LED50,LED 0402 Orange,Top,-10.83,6.25,330.0,
LED51,LED 0402 Orange,Top,-10.11,7.35,324.0,
LED52,LED 0402 Orange,Top,-9.29,8.36,318.0,
LED53,LED 0402 Orange,Top,-8.36,9.29,312.0,
LED54,LED 0402 Orange,Top,-7.35,10.11,306.0,
LED55,LED 0402 Orange,Top,-6.25,10.83,300.0,
LED56,LED 0402 Orange,Top,-5.08,11.42,294.0,
LED57,LED 0402 Orange,Top,-3.86,11.89,288.0,
LED58,LED 0402 Orange,Top,-2.60,12.23,282.0,
LED59,LED 0402 Orange,Top,-1.31,12.43,276.0,
U1,LIS2DH12,Top,5.25,0.00,90.0,
R1,R 10k 0201,Top,-5.50,-4.00,270.0,
R6,R 10k 0201,Top,5.25,-2.50,270.0,
R2,R 1k 0201,Top,0.00,-7.75,0.0,
R4,R 4.7k 0201,Top,4.50,-2.50,270.0,
R5,R 4.7k 0201,Top,6.00,-2.50,270.0,
BAT1,CR2032 Retainer,Bottom,0.00,0.00,0.0,
S1,EVP-AVAA1A,Bottom,-15.03,0.00,270.0,
TP1,Testpoint,Bottom,10.00,-8.00,0.0,
TP2,Testpoint,Bottom,-10.00,-8.00,0.0,
TP3,Testpoint,Bottom,-5.00,-12.00,0.0,
TP4,Testpoint,Bottom,-10.00,8.00,0.0,
TP5,Testpoint,Bottom,10.00,8.00,0.0,
